"","x"
"1552417_a_at",0.232673464618413
"1552418_at",0.211296464717817
"1552419_s_at",0.113589852898352
"1552421_a_at",0.0242550568055546
"1552422_at",0.062674038121914
"1552423_at",0.019189390938906
"1552424_at",0.0957880496601415
"1552425_a_at",-0.0841469770554957
"1552426_a_at",-0.0902327777328669
"1552427_at",0.289738628239357
"1552430_at",0.0268734972923481
"1552432_at",0.030856865636367
"1552436_a_at",0.113216825839192
"1552438_a_at",0.106136279582933
"1552439_s_at",-0.0845120691947809
"1552440_at",-0.0639689361080125
"1552445_a_at",0.136313347327861
"1552448_a_at",-0.0892255130719724
"1552449_a_at",-0.0272331835452571
"1552450_a_at",0.0121830765070428
"1552452_at",0.176135171284614
"1552453_a_at",-0.0639857116987197
"1552455_at",-0.00909752266532848
"1552456_a_at",0.170437488644738
"1552457_a_at",-0.134917820726822
"1552458_at",0.0626537045716073
"1552459_a_at",-0.183183053247868
"1552461_at",0.109966158086876
"1552463_at",0.680373454511812
"1552466_x_at",-2.22044604925031e-16
"1552467_at",-0.10591103619935
"1552468_a_at",-0.0147188820189452
"1552470_a_at",-0.0248396144431444
"1552472_a_at",0.260262496679823
"1552473_at",0.266764862518974
"1552474_a_at",0.113551781775087
"1552476_s_at",0.157991505778771
"1552477_a_at",-0.507589969234902
"1552478_a_at",-0.729354335314287
"1552480_s_at",-0.126957486762442
"1552481_s_at",-0.0571192289585305
"1552482_at",-0.181932651600977
"1552484_at",0
"1552485_at",-0.309482013564006
"1552486_s_at",-0.539496478090808
"1552487_a_at",-0.158709407628171
"1552489_s_at",0.158413031667943
"1552490_at",-0.104010421815925
"1552491_at",-0.000709593424785382
"1552493_s_at",0.0287138065143422
"1552494_at",0.262915316389235
"1552496_a_at",-0.314393471705777
"1552497_a_at",-0.0918687789057797
"1552498_at",0.282853224122575
"1552499_a_at",-0.0661936781383936
"1552501_a_at",0.00528536139888924
"1552502_s_at",-0.442129617128203
"1552503_at",-0.191678584259828
"1552504_a_at",0.0382090060087554
"1552506_at",0.0603160878378652
"1552507_at",0.103747291839728
"1552508_at",0.155433035311172
"1552509_a_at",-0.104145781812258
"1552510_at",-0.22115709814316
"1552511_a_at",0.110755273641318
"1552514_at",-0.0538881213909659
"1552515_at",-0.2608902152736
"1552516_a_at",-0.183313018212305
"1552518_s_at",0.428921611795757
"1552519_at",-0.186688606401701
"1552520_at",-0.137853666054861
"1552521_a_at",-0.204555362180314
"1552522_at",0.00831593421749321
"1552523_a_at",0.0231329793664443
"1552524_at",-0.000536602978388423
"1552526_at",0.0726013977373698
"1552528_at",0.0519702070631709
"1552531_a_at",0.525245620786286
"1552532_a_at",-0.0773982898703593
"1552535_at",0.147262193017999
"1552536_at",0.0200706286800303
"1552538_a_at",0.187783154519993
"1552540_s_at",-0.415478027896137
"1552541_at",-0.0631111301279583
"1552542_s_at",0.144630343731204
"1552543_a_at",0.114840338300253
"1552544_at",-0.00262481306713003
"1552546_a_at",0.20606474036455
"1552548_at",0.0416328842299292
"1552549_a_at",0.224257738924449
"1552552_s_at",-0.113471266083421
"1552553_a_at",0.176674123343637
"1552554_a_at",-0.0857334513967225
"1552555_at",-0.147410697266816
"1552557_a_at",-0.0285538724397458
"1552558_a_at",0.387917263388445
"1552559_a_at",0.104240271904511
"1552562_at",-0.150530664531404
"1552563_a_at",0.119495907360798
"1552564_at",0.0213916622186647
"1552566_at",-0.222276496456729
"1552568_at",0.180388949572306
"1552569_a_at",0.00952612837370248
"1552570_at",0.0742169590184689
"1552572_a_at",0.349848065158457
"1552573_s_at",0.141625777920258
"1552575_a_at",-0.457788995192465
"1552576_at",-0.0136396125755809
"1552578_a_at",-0.144685196197685
"1552579_a_at",0.245894824028829
"1552580_at",-0.00359909553802362
"1552582_at",0.233463941151311
"1552583_s_at",0.0998037384969721
"1552584_at",0.0924291764272538
"1552585_s_at",-0.0296005071265399
"1552586_at",0.0760954877951967
"1552587_at",-0.0112680999464687
"1552588_a_at",0.089211100606164
